Milestone ID;Shipment ID;Milestone Sequence;Milestone Type;Planned Datetime;Actual Datetime;Milestone Status;Updated By;Update Notes;Update Timestamp
MS000001;SHP0001;1;Cargo Ready;03/03/24;03/03/24 12.00;Completed;Andi Pratama;Shipment tracking updated;05/03/24 12.00
MS000002;SHP0001;2;Booking Confirmed;04/03/24;04/03/24 08.00;Delayed;Fajar Nugroho;Depot release completed;06/03/24 08.00
MS000003;SHP0001;3;Empty Container Pickup;08/03/24;08/03/24 12.00;Delayed;Andi Pratama;Operational update recorded;08/03/24 12.00
MS000004;SHP0001;4;Cargo Loading;12/03/24;12/03/24 00.00;Completed;Rafi Kurnia;Shipping documents verified;13/03/24 00.00
MS000005;SHP0001;5;Gate In;16/03/24;16/03/24 12.00;Delayed;Dimas Saputra;Operational note variation 80;17/03/24 12.00
MS000006;SHP0001;6;Documentation Complete;18/03/24;18/03/24 02.00;Delayed;Andi Pratama;ETA revised;20/03/24 02.00
MS000007;SHP0001;7;Vessel Departure;21/03/24;21/03/24 12.00;Completed;Budi Santoso;Delivery appointment confirmed;24/03/24 12.00
MS000008;SHP0001;8;Port Arrival;24/03/24;26/03/24 00.00;delayed;Andi Pratama;;07/04/24 00.00
MS000009;SHP0001;9;Customs Clearance;26/03/24;26/03/24 12.00;Completed;Budi Santoso;Port arrival confirmed;27/03/24 12.00
MS000010;SHP0001;10;Delivered;28/03/24;28/03/24 12.00;delayed;Dimas Saputra;Carrier allocated vessel space;31/03/24 12.00
MS000011;SHP0002;1;Cargo Ready;31/01/24;01/02/24 00.00;Completed;Indah Permata;Shipment released by customs;
MS000012;SHP0002;2;Booking Confirmed;03/02/24;03/02/24 02.00;Delayed;;Vessel allocation confirmed;05/02/24 02.00
MS000013;SHP0002;3;Empty Container Pickup;07/02/24;07/02/24 00.00;Completed;Kevin Halim;Container dispatched to customer site;18/02/24 00.00
MS000014;SHP0002;4;Cargo Loading;11/02/24;11/02/24 02.00;Delayed;Budi Santoso;Shipment arrived as planned;14/02/24 02.00
MS000015;SHP0002;5;Gate In;15/02/24;15/02/24 00.00;Completed;Kevin Halim;Final milestone completed;15/02/24 00.00
MS000016;SHP0002;6;Documentation Complete;16/02/24;16/02/24 12.00;Completed;Andi Pratama;Carrier schedule update received;17/02/24 12.00
MS000017;SHP0002;7;Vessel Departure;17/02/24;17/02/24 00.00;Completed;Dimas Saputra;Final milestone completed;18/02/24 00.00
MS000018;SHP0002;8;Port Arrival;19/02/24;19/02/24 12.00;Delayed;Indah Permata;Operational update recorded;22/02/24 12.00
MS000019;SHP0002;9;Customs Clearance;21/02/24;21/02/24 04.00;Delayed;Sarah Amelia;Customer confirmed cargo readiness;24/02/24 04.00
MS000020;SHP0002;10;Delivered;24/02/24;24/02/24 08.00;Completed;Daniel Hartono;Cargo loaded successfully;27/02/24 08.00
MS000021;SHP0003;1;Cargo Ready;28/03/24;28/03/24 00.00;completed;Andi Pratama;Depot release completed;29/03/24 00.00
