Shipment ID;Booking Number;BL Number;Customer Name;Incoterm;Cargo Type;Commodity;Cargo Volume CBM;Container Type;Container Qty;Origin Port;Destination Port;Vessel Name;Shipping Line;ETD;ETA;Actual Departure;Actual Arrival;Cut Off Time;Closing Time;Total Charge USD;Shipment Status;Priority Level;PIC Name;Created Date;Last Update Timestamp
SHP0001;BKG000001;BL000001;PT Orion Consumer Products;FOB;LCL;Textiles;07.10;40HC;4;Singapore;Jakarta;MV Pacific Trader;Pacific Horizon Shipping;02/07/25;12/07/25 00.00;;;30/06/25;01/07/25;4514.00.00;At Origin;Low;Cindy Wijaya;22/06/25;06/07/25
SHP0002;BKG000002;BL000002;PT Evergreen Industrial;EXW;FCL;Chemicals;06.10;20GP;5;Shenzhen;Jakarta;MV Ocean Star;Maritime Connect Lines;22/08/25;01/09/25 00.00;23/08/25 00.00;;20/08/25;21/08/25;6099.60;In Transit;High;Yoga Mahendra;12/08/25;10/09/25
SHP0003;BKG000003;BL000003;PT Vertex Manufacturing;CIF;LCL;Textiles;39.63;40GP;8;Hong  Kong;Jakarta;MV Sapphire Route; Global Route Shipping;02/03/24;14/03/24 00.00;01/03/24 18.00;;29/02/24;01/03/24;7750.20.00;In Transit;Low;Budi Santoso;21/02/24;12/03/24
SHP0004;BKG000004;BL000004;PT Nova Electronics;FOB;LCL;Chemicals;68.63;20GP;8;Port Klangg;Jakarta;MV Coral Voyager;BlueWave Lines ;15/03/24;23/03/24 00.00;15/03/24 21.00;;13/03/24;14/03/24;8073.20.00;Customs Clearance;Low ;Cindy Wijaya;05/03/24;27/03/24
SHP0005;BKG000005;BL000005;PT Zenith Industrial;EXW;FCL;Consumer Electronics;66.34.00;40GP;8;Port Klang;Semarang;MV Ocean Star;Global Route Shipping;03/10/24;13/10/24 00.00;04/10/24 00.00;;01/10/24;02/10/24;7809.60;At Origin;Low;Andi Pratama;23/09/24;23/10/24
SHP0006;BKG000006;BL000006;PT Stellar Commerce;EXW;LCL;Cntr Parts;09.09;40GP;7;Hong Kong;Surabaya;MV Maritime Spirit;TransMarine Logistics;10/09/24;20/09/24 00.00;10/09/24 09.00;21/09/24 17.00;08/09/24;09/09/24;6299.60;Customs Clearance;Low;Andi Pratama;31/08/24;23/09/24
SHP0007;BKG000007;BL000007;PT Velocity Electronics;FOB;LCL;Textiles;18.05;40GP;1;Shanghai;Jakarta;MV Blue Horizon;Northstar Freight Lines;26/08/24;03/09/24 00.00;25/08/24 20.00;;24/08/24;25/08/24;5057.00.00;In Transit;Low;Cindy Wijaya;16/08/24;13/09/24
SHP0008;BKG000008;BL000008;PT Polaris Trading;CIF;FCL;Chemicals;328.00.00;20GP;30;Hong Kong;Jakarta;MV Ocean Star;Maritime Connect Lines;04/03/24;18/03/24 00.00;04/03/24 09.00;19/03/24 04.00;02/03/24;03/03/24;45533.00;Delivered;Medium;Dimas Saputra;23/02/24;05/03/24
SHP0009;BKG000009;BL000009;PT Nexus Manufacturing;DAP;LCL;Consumer Electronics;12.15;40GP;8;Shenzhen;Jakarta;MV Coral Voyager;Pacific Horizon Shipping;21/12/24;26/12/24 00.00;21/12/24 11.00;25/12/24 14.00;19/12/24;20/12/24;7218.00.00;Customs Clearance;Medium;Fajar Nugroho;11/12/24;27/12/24
SHP0010;BKG000010;BL000010;PT Falcon Dynamics;FOB;LCL;Consumer Electronics;63.27.00;40GP;6;Shanghai;Surabaya;MV Pacific Trader;Northstar Freight Lines;07/12/25;24/12/25 00.00;07/12/25 23.00;25/12/25 11.00;05/12/25;06/12/25;6479.80;Customs Clearance;Low;Fajar Nugroho;27/11/25;14/12/25
SHP0011;BKG000011;BL000011;PT Frontier Packaging;EXW;LCL;Consumer Electronics;89.09.00;40GP;8;Port Klang;Jakarta;MV Emerald Passage;BlueWave Lines;14/06/25;22/06/25 00.00;18/06/25 00.00;23/06/25 14.00;12/06/25;13/06/25;8157.60;Customs Clearance;Low;Yoga Mahendra;04/06/25;22/06/25
SHP0012;BKG000012;BL000012;PT Infinity Manufacturing;FOB;LCL;Industrial Equipment;72.37.00;20GP;2;Shenzhen;Semarang;MV Southern Crest;BlueWave Lines;16/09/25;26/09/25 00.00;25/09/25 00.00;;14/09/25;15/09/25;6791.80;At Origin;Low;Rizky Kurniawan;06/09/25;29/09/25
SHP0013;BKG000013;BL000013;PT Nova Electronics;FOB;FCL;Textiles;195.00.00;40HC;30;Hong Kong;Jakarta;MV Northern Tide;Eastern Cargo Line;10/05/24;17/05/24 00.00;10/05/24 17.00;;08/05/24;09/05/24;43280.00;In Transit;High;Cindy Wijaya;30/04/24;14/05/24
SHP0014;BKG000014;BL000014;PT Horizon Industries;FOB;LCL;Chemicals;27.78;20GP;6;Port Klang;Jakarta;MV Ocean Star;Pacific Horizon Shipping;04/08/24;07/08/24 00.00;04/08/24 15.00;08/08/24 18.00;02/08/24;03/08/24;6571.44.00;Customs Clearance;High;;25/07/24;23/08/24
SHP0015;BKG000015;BL000015;PT Vertex Manufacturing;CIF;FCL;Food Products;243.00.00;40HC;22;Shanghai;Jakarta;MV Emerald Passage;oceanlink shipping;13/05/24;26/05/24 00.00;19/05/24 00.00;25/05/24 10.00;11/05/24;12/05/24;49925.00;Delivered;Low;Fajar Nugroho;03/05/24;30/05/24
SHP0016;BKG000016;BL000016;PT Nova Electronics;CIF;FCL;Industrial Equipment;0,257638889;20GP;8;Hong Kong;Jakarta;MV Pacific Trader;BlueWave Lines;28/02/24;05/03/24 00.00;29/02/24 00.00;;26/02/24;27/02/24;5501.40.00;In Transit;Medium;Andi Pratama;18/02/24;16/03/24
SHP0017;BKG000017;BL000017;PT Ocean Retail Group;CIF;LCL;Chemicals;303.00.00;40GP;30;Port Klang;Jakarta;MV Blue Horizon;BlueWave Lines;22/09/24;28/09/24 00.00;22/09/24 12.00;27/09/24 05.00;20/09/24;21/09/24;33035.00;Customs Clearance;Low;Andi Pratama;12/09/24;04/10/24
SHP0018;BKG000018;BL000018;PT Vertex Manufacturing;EXW;LCL;Chemicals;89.11.00;20GP;3;Busan;Jakarta;MV Island Navigator;Pacific  Horizon  Shipping;06/04/24;17/04/24 00.00;06/04/24 21.00;18/04/24 00.00;04/04/24;05/04/24;7471.40.00;Customs Clearance;Low;Rizky Kurniawan;27/03/24;18/04/24
